ца 	Цабель		Ца'бель	^
 	Цабельн		Ца'бельнъ	 
 	царапина		цара'пина	 
 	Царёв		Царёвъ	 
 	царёв		царёвъ (ука'зъ)	 
 	Царёва		Царёва	 
 	царевич		царе'вичъ, о царе'вичѣ	 
 	царевна		царе'вна, о царе'внѣ	 
 	Царёво-Займище		Царёво-За'ймище	 
 	Царёвококшайск		Царёвококша'йскъ	 
 	царедворец		царедво'рецъ	 
 	царёк		царёкъ	 
 	царица		цари'ца, цари'цей, цари'цынъ, о царицѣ'	 
 	Царицыно		Цари'цыно (не Цари'цино!), цари'цынскій, въ Цари'цынѣ	 
 	царские		ца'рскіе (м. р.), ца'рскія (ж. р. и ср. р.)	 
 	царский		ца'рскій, ца'рскаго, ца'рское	 
 	царского		ца'рскаго	 
 	Царское Село		Ца'рское-Село'	 
 	царскосельские		царскосе'льскіе (м. р.), царскосе'льскія (ж. р. и ср. р.)	 
 	царскосельский		царскосе'льскій	 
 	царскосельского		царскосе'льскаго	 
 	царскосельское		царскосе'льское	 
 	царственный		ца'рственный	 
 	царствие		ца'рствіе	 
 	царство		ца'рство, въ нѣ'которомъ ца'рствѣ	 
 	царствующий		ца'рствующій	 
 	царь		ца'рь, царёмъ, царе'й, царёву, царёва, царёво, о царѣ', при царѣ'	 
 	Царьград		Царьгра'дъ	 
цв 	Цвейбрюкен		Цвейбрю'кенъ	^
 	цвёл		цвѣ'лъ, цвѣла', цвѣли', цвѣло'	 
 	цвёлый		цвѣ'лый	 
 	цвель		цвѣ'ль (зелёный налётъ плѣ'сени; ря'ска и'ли ти'на на водѣ')	 
 	цвести		цвѣсти', цвѣ'сть	 
 	цвет		цвѣ'тъ, въ цвѣ'тѣ	 
 	Цветаева		Цвѣта'ева	 
 	цветами		цвѣта'ми	 
 	цветах		цвѣта'хъ	 
 	цветение		цвѣте'ніе	 
 	цветень		цвѣ'тень (пыльца')	 
 	цветёт		цвѣтётъ, цвѣтёмъ, цвѣтёшь	 
 	цветного		цвѣтно'го	 
 	цветное		цвѣтно'е	 
 	цветной		цвѣтно'й, цвѣтно'го	 
 	цветные		цвѣтны'е (м. р.), цвѣтны'я (ж. р. и ср. р.)	 
 	цветок		цвѣто'къ, на цвѣткѣ'	 
 	цветочек		цвѣто'чекъ	 
 	цветочный		цвѣто'чный, цвѣто'чнаго	 
 	цвету		цвѣту'	 
 	цветут		цвѣту'тъ	 
 	цветущее		цвѣту'щее	 
 	цветущие		цвѣту'щіе (м. р.), цвѣту'щія (ж. р. и ср. р.)	 
 	цветущий		цвѣту'щій, цвѣту'щаго, цвѣту'щихъ	 
 	цветшего		цвѣ'тшаго	 
 	цветшее		цвѣ'тшее	 
 	цветшие		цвѣ'тшіе (м. р.), цвѣ'тшія (ж. р. и ср. р.)	 
 	цветший		цвѣ'тшій, цвѣ'тшаго	 
 	цветы		цвѣты'	 
 	Цвикау		Цвика'у	 
це 	це		Ц — це' — два'дцать тре'тья бу'ква ру'сской а'збуки	^
 	Цебриков		Це'бриковъ	 
 	цевка		цѣ'вка	 
 	цевьё		цѣвьё	 
 	цедить		цѣди'ть, цѣ'дятъ	 
 	цедра		це'дра	 
 	цежёный		цѣжёный	 
 	Цезарь		Це'зарь	 
 	цезий		це'зій	 
 	цезура		цезу'ра	 
 	Цейлон		Цейло'нъ	 
 	цейтнот		цейтно'тъ, въ цейтно'тѣ	 
 	цейхгауз		цейхга'узъ (помѣще'ніе для хране'нія артиллері'йскихъ, инжене'рныхъ и вообще' вое'нныхъ запа'совъ)	 
 	цейхмейстер		цейхме'йстеръ	 
 	целая		цѣ'лая, цѣ'лой, цѣ'лую но цѣлу'ю	 
 	Целебес		Це'лебесъ	 
 	целебнее		цѣле'бнѣе	 
 	целебного		цѣле'бнаго	 
 	целебное		цѣле'бное	 
 	целебные		цѣле'бные (м. р.), цѣле'бныя (ж. р. и ср. р.)	 
 	целебный		цѣле'бный, цѣле'бнаго	 
 	целее		цѣлѣ'е, цѣлѣ'й	 
 	целей		цѣ'лей (нѣ'сколько цѣ'лей), но цѣлѣ'й (еще' цѣлѣ'й)	 
 	целенаправленные		цѣленапра'вленные (м. р.), цѣленапра'вленныя (ж. р. и ср. р.)	 
 	целенаправленный		цѣленапра'вленный	 
 	целесообразный		цѣлесообра'зный, цѣлесообра'знаго	 
 	Целестин		Целести'нъ	 
 	целеустремлённый		цѣлеустремлённый, цѣлеустремлённаго	 
 	целёхонек		цѣлёхонекъ	 
 	целёшенький		цѣлёшенькій	 
 	целибат		целиба'тъ (безбра'чіе; предписа'ніе католи'ческому духове'нству остава'ться нежена'тымъ)	 
 	целик		цѣ'ликъ, цѣ'ликомъ (нѣ'что цѣ'лое, нетро'нутое)	 
 	целиком		цѣлико'мъ (по'лностью)	 
 	целина		цѣлина'	 
 	целитель		цѣли'тель	 
 	целить		цѣ'лить	 
 	целиться		цѣ'литься	 
 	целковый		цѣлко'вый (сере'бряная моне'та въ 1 ру'бль)	 
 	Целлер		Це'ллеръ	 
 	целлулоид		целлюло'идъ	 
 	целлюлоза		целлюло'за	 
 	целовальник		цѣлова'льникъ (вы'борное должностно'е лицо', присяга'вшее цѣлова'ніемъ креста')	 
 	целовать		цѣлова'ть	 
 	целого		цѣ'лаго	 
 	целое		цѣ'лое (въ одно' цѣ'лое)	 
 	целом		цѣ'ломъ (въ цѣ'ломъ)	 
 	целомудрие		цѣлому'дріе (чистота' чу'вствъ и дѣ'йствій, осо'бенно въ отноше'ніяхъ лицъ ра'зныхъ поло'въ)	 
 	целостность		цѣ'лостность	 
 	целость		цѣ'лость, въ цѣ'лости	 
 	целует		цѣлу'етъ, цѣлу'емъ, цѣлу'ешь, цѣлу'ютъ, цѣлу'ю но цѣ'лую	 
 	целуй		цѣлу'й	 
 	целые		цѣ'лые (м. р.), цѣ'лыя (ж. р. и ср. р.)	 
 	целый		цѣ'лый, цѣ'лаго, цѣлѣ'е	 
 	целых		цѣ'лыхъ, цѣ'лымъ, цѣ'лыми	 
 	цель		цѣ'ль	 
 	Цельз		Це'льзъ	 
 	цельного		цѣ'льнаго	 
 	цельное		цѣ'льное	 
 	цельность		цѣ'льность	 
 	цельные		цѣ'льные (м. р.), цѣ'льныя (ж. р. и ср. р.)	 
 	цельный		цѣ'льный, цѣ'льнаго	 
 	Цельсий		Це'льсій	 
 	цемент		цеме'нтъ, въ цеме'нтѣ	 
 	цена		цѣна', въ цѣнѣ', цѣ'нный, цѣ'ны	 
 	цене		въ цѣнѣ', цѣна', цѣ'ны	 
 	ценённый		цѣнённый	 
 	ценз		це'нзъ (совоку'пность усло'вій, даю'щихъ лицу' опредѣлённыя полити'ческія и'ли служе'бныя права')	 
 	цензор		це'нзоръ	 
 	цензура		цензу'ра	 
 	ценителем		цѣни'телемъ	 
 	ценитель		цѣни'тель	 
 	ценительница		цѣни'тельница	 
 	ценитесь		цѣ'нитесь	 
 	ценимся		цѣ'нимся	 
 	ценится		цѣ'нится	 
 	ценишься		цѣ'нишься	 
 	Ценковский		Ценко'вскій	 
 	ценнее		цѣннѣ'е	 
 	ценник		цѣ'нникъ, въ цѣ'нникѣ	 
 	ценного		цѣ'ннаго	 
 	ценное		цѣ'нное, о цѣ'нномъ	 
 	ценностный		цѣ'нностный	 
 	ценность		цѣ'нность	 
 	ценные		цѣ'нные (м. р.), цѣ'нныя (ж. р. и ср. р.)	 
 	ценный		цѣ'нный, цѣ'ннаго, цѣ'нныхъ	 
 	ценовой		цѣново'й, цѣново'го	 
 	цент		це'нтъ	 
 	центнер		це'нтнеръ	 
 	центр		це'нтръ, въ це'нтрѣ	 
 	централ		центра'лъ	 
 	централизация		централиза'ція	 
 	централизм		централи'змъ	 
 	центральный		центра'льный, центра'льнаго	 
 	центратор		центра'торъ	 
 	центрифуга		центрофу'га	 
 	центробежный		центробѣ'жный	 
 	центростремительной		центростреми'тельной	 
 	центурион		центуріо'нъ	 
 	центурия		центу'рія, центу'ріи, центу'ріей	 
 	цены		цѣ'ны	 
 	ценятся		цѣ'нятся	 
 	цеп		цѣ'пъ	 
 	цепей		цѣпе'й	 
 	цепенеть		цѣпенѣ'ть	 
 	цепень		цѣ'пень, цѣ'пнемъ	 
 	цепи		цѣ'пи, на цѣпя'хъ, въ цѣпя'хъ, цѣпе'й	 
 	цепкий		цѣ'пкій, цѣ'пкаго	 
 	цепко		цѣ'пко, цѣ'пче	 
 	цепляет		цѣпля'етъ	 
 	цеплять		цѣпля'ть	 
 	цепной		цѣпно'й, цѣпно'го	 
 	цепные		цѣпны'е (м. р.), цѣпны'я (ж. р. и ср. р.)	 
 	цепочка		цѣпо'чка, на цѣпо'чкѣ	 
 	цеппелин		цеппели'нъ	 
 	цепче		цѣ'пче	 
 	цепь		цѣ'пь, мн. цѣ'пи, на цѣпи'	 
 	цепями		цѣпя'ми	 
 	Цербер		Це'рберъ	 
 	церебральный		церебра'льный	 
 	церемониал		церемоніа'лъ (совоку'пность обря'дностей и форма'льностей при извѣ'стныхъ торже'ственныхъ слу'чаяхъ)	 
 	церемониймейстер		церемонійме'йстеръ	 
 	церемония		церемо'нія	 
 	церемонный		церемо'нный (жема'нный, лома'ющійся, иску'сственно изобража'ющій собо'ю стѣсня'ющагося человѣ'ка)	 
 	Церера		Цере'ра	 
 	Цериго		Цери'го (о'стровъ)	 
 	церквёнка		церквёнка	 
 	церквушка		церкву'шка, церкву'шечка	 
 	церковка		це'рковка	 
 	церковник		церко'вникъ (стари'нное назва'ніе дьячка' и пономаря')	 
 	церковного		церко'внаго	 
 	церковное		церко'вное	 
 	церковно-приходская		церко'вно-приходска'я (нача'льная шко'ла, находи'вшаяся въ веде'ніи це'ркви и прихо'дскаго духове'нства)	 
 	церковнославянский		церко'вно-славя'нскій	 
 	церковнослужитель		церковнослужи'тель (псало'мщикъ, въ противоположе'ніе свяще'ннику и дья'кону, имену'емымъ священнослужи'телями)	 
 	церковные		церко'вные (м. р.), церко'вныя (ж. р. и ср. р.)	 
 	церковный		церко'вный, церко'внаго	 
 	церковь		це'рковь, мн. це'ркви, въ церква'хъ, церква'мъ, церкве'й, о це'ркви	 
 	церография		церогра'фія (жи'вопись на во'скѣ)	 
 	Цертелев		Це'ртелевъ	 
 	цесаревич		цесаре'вичъ (ти'тулъ наслѣ'дника престо'ла на основа'ніи зако'на объ импера'торской фами'ліи)	 
 	цесаревна		цесаре'вна (супру'га наслѣ'дника престо'ла)	 
 	цесарка		цеса'рка	 
 	цесарь		це'сарь	 
 	Цетине		Це'тинье	 
 	Цеута		Цеу'та	 
 	цех		це'хъ, це'хи (организо'ванныя о'бщества реме'сленниковъ, занима'ющихся одни'мъ и тѣмъ же мастерство'мъ)	 
 	Цеханов		Цѣха'новъ	 
 	цехин		цехи'нъ	 
 	Цехоцинск		Цѣхоци'нскъ	 
 	цеце		цеце'	 
 	Цецилия		Цеци'лія	 
ци 	цианид		ціани'дъ, ці'анистый	^
 	Цибела		Цибе'ла	 
 	цибик		цы'бикъ	 
 	циветта		циве'тта, циве'та (живо'тное семе'йства виве'рровыхъ)	 
 	цивилизация		цивилиза'ція	 
 	цикл		ци'клъ, въ ци'клѣ	 
 	циклёванный		цыклёванный	 
 	циклёвочный		цыклёвочный	 
 	Циклер		Ци'клеръ	 
 	цикорий		цико'рій	 
 	цилиндр		цили'ндръ, въ цили'ндрѣ	 
 	цилиндрические		цилиндри'ческіе (м. р.), цилиндри'ческія (ж. р. и ср. р.)	 
 	цилиндрический		цилиндри'ческій, цилиндри'ческаго	 
 	цилиндрического		цилиндри'ческаго	 
 	цилиндрическое		цилиндри'ческое	 
 	цимбалы		цымба'лы	 
 	Цимисхий		Цими'схій	 
 	Циммерманъ		Циммерма'нъ	 
 	Цимсен		Ци'мсенъ	 
 	цинга		цынга', при цынгѣ' (болѣ'знь, развива'ющаяся на по'чвѣ недоста'точнаго пита'нія, осо'бенно при недоста'ткѣ въ пи'щѣ расти'тельныхъ соле'й ка'лія)	 
 	циник		ци'никъ	 
 	цинк		ци'нкъ	 
 	цинния		ци'ннія	 
 	циновка		цыно'вка	 
 	Цинцендорф		Цинцендо'рфъ	 
 	Цион		Ціо'нъ	 
 	цирк		ци'ркъ	 
 	циркуль		ци'ркуль	 
 	циркуляр		циркуля'ръ	 
 	Цирцея		Цирце'я	 
 	цирюльник		цырю'льникъ (парикма'херъ)	 
 	цирюльня		цырю'льня, въ цырю'льнѣ (парикма'херская)	 
 	Цислейтания		Цислейта'нія	 
 	цистерна		цисте'рна	 
 	цитадель		цитаде'ль (вну'тренняя городска'я крѣ'пость)	 
 	цитата		цита'та	 
 	цитварь		цы'тварь	 
 	Цитера		Ците'ра	 
 	цитирование		цити'рованіе	 
 	цитра		ци'тра	 
 	циферблат		цифербла'тъ	 
 	цифирь		цыфи'рь	 
 	цифра		ци'фра и цы'фра, къ ци'фрѣ, ци'фры, ци'фръ	 
 	цифровое		цифрово'е, цифрово'го	 
 	цифровые		цифровы'е (м. р.), цифровы'я (ж. р. и ср. р.)	 
 	цицеро		ци'церо	 
 	Цицерон		Цицеро'нъ	 
 	Цицианов		Циціа'новъ	 
цр 	Цриквеница		Црикве'ница	^
цу 	цугундер		цугу'ндеръ	^
цш 	Цшоке		Цшо'ке	^
цы 	цыбик		цы'бикъ	^
 	цыган		цыга'нъ, цыга'нка, им. п. мн. ч. цыга'ны и цыга'не, о цыга'нѣ, о цыга'нкѣ (не цига'нъ!)	 
 	цыгане		цыга'не и цыга'ны, о цыга'нѣ (не цига'не!)	 
 	цыганёнок		цыганёнокъ, о цыганёнкѣ	 
 	цыпки		цы'пки (разса'дины на нога'хъ, разъѣ'денныя гря'зью)	 
 	цыплёнок		цыплёнокъ	 
 	цыпочки		цы'почки	 
 	цыц		цы'цъ	 
цю 	Цюрих		Цю'рихъ