ща 	ща		Щ — ща' — два'дцать шеста'я бу'ква ру'сской а'збуки	^
 	щавелёк		щавелёкъ	 
 	щавель		щаве'ль, со щавелёмъ (не ща'велемъ!), щаве'льный	 
 	щадить		щади'ть	 
 	щажение		щаже'ніе, щаже'нье	 
 	щажённый		щажённый	 
ще 	Щебальский		Щеба'льскій	^
 	щебёнка		щебёнка	 
 	щебёночный		щебёночный	 
 	щебень		ще'бень	 
 	щебетать		щебета'ть, щебета'вшій, щебе'чешь	 
 	щеглёнок		щеглёнокъ	 
 	Щеглов		Щегло'въ	 
 	щегол		щего'лъ	 
 	щеголёк		щеголёкъ	 
 	щёголь		щёголь, щеголи'ха, щеголя'ть	 
 	щегольски		щегольски'	 
 	щеголять		щеголя'ть	 
 	щедривки		щедри'вки (пѣ'сни), щедрова'ніе	 
 	Щедрин		Щедри'нъ (Салтыко'въ)	 
 	щедрина		щедри'на (слѣ'дъ отъ о'спы)	 
 	щедрее		щедрѣ'е	 
 	щедрого		ще'драго	 
 	щедрое		ще'дрое	 
 	щедрость		ще'дрость	 
 	щедрота		щедрота', отъ щедро'тъ	 
 	щедрые		ще'дрые (м. р.), ще'дрыя (ж. р. и ср. р.)	 
 	щедрый		ще'дрый, ще'драго	 
 	Щек		Ще'къ	 
 	щека		щека', щёки, щёку, по щекѣ', щёкъ, щека'мъ	 
 	щёки		щёки	 
 	щеколда		щеко'лда	 
 	щекотать		щекота'ть	 
 	щелистый		щели'стый	 
 	щёлк		щёлкъ (междоме'тіе)	 
 	щёлка		щёлка	 
 	Щелкалов		Щелка'ловъ	 
 	Щелкан		Щелка'нъ	 
 	щёлкать		щелка'ть (напримѣ'ръ, орѣ'хи), но що'лкать (языко'мъ или па'льцами)	 
 	щёлкать		що'лкать (языко'мъ или па'льцами), но щелка'ть (напримѣ'ръ, орѣ'хи)	 
 	щёлкнуть		щелкну'ть (отъ щелка'ть орѣ'хи)	 
 	щелкопёр		щелкопёръ (безда'рный, но мно'го и легко' пи'шущій писа'тель, журнали'стъ; писа'ка)	 
 	щёлок		щёлокъ	 
 	щелочённый		щелочённый	 
 	щёлочестойкий		щёлочесто'йкій	 
 	щёлочеупорный		щёлочеупо'рный	 
 	щёлочеустойчивый		щёлочеусто'йчивый	 
 	щёлочка		щёлочка	 
 	щёлочноземельный		щёлочноземе'льный	 
 	щёлочь		щёлочь	 
 	щелчок		щелчо'къ	 
 	щель		ще'ль, щеле'й	 
 	щелястый		щеля'стый	 
 	Щемиловский		Щеми'ловскій	 
 	щемить		щеми'ть	 
 	щемление		щемле'ніе	 
 	щемящего		щемя'щаго	 
 	щемящее		щемя'щее	 
 	щемящие		щемя'щіе (м. р.), щемя'щія (ж. р. и ср. р.)	 
 	щённая		щённая (бере'менная соба'ка, волчи'ца, лиса' и т. п.)	 
 	щенок		щено'къ, щено'чекъ, щенёнокъ, щенки', о щенкѣ'	 
 	Щеня		Ще'ня	 
 	щенячий		щеня'чій, щеня'та	 
 	щепа		щепа'	 
 	щепетильный		щепети'льный	 
 	щепка		ще'пка	 
 	Щепкин		Ще'пкинъ	 
 	щепотка		щепо'тка, щепо'точка	 
 	щепоть		ще'поть	 
 	щепьё		щепьё	 
 	Щербаков		Щербако'въ	 
 	Щербатов		Щерба'товъ	 
 	щербатый		щерба'тый	 
 	щербина		щерби'на, щерби'нка	 
 	Щербина		Щербина'	 
 	щерблённый		щерблённый	 
 	щетина		щети'на, щети'нка	 
 	щетинистый		щети'нистый (похо'жій на щети'ну)	 
 	щетинный		щети'нный (сдѣ'ланный изъ щети'ны)	 
 	щётка		щётка	 
 	щёткодержатель		щёткодержа'тель	 
 	щёткообразный		щёткообра'зный	 
 	щёточка		щёточка	 
 	щёточный		щёточный	 
 	щёчечка		щёчечка	 
 	щёчка		щёчка	 
 	щёчки		щёчки	 
 	щёчный		щёчный	 
щи 	щи		щи, щей, поѣ'шь-ка щецъ	^
 	щипанёт		щипанётъ	 
 	щипец		щипе'цъ	 
 	щипнёшь		щипнёшь	 
 	щит		щитъ, на щитѣ'	 
 	щитень		щите'нь	 
 	щиток		щито'къ, въ щиткѣ'	 
щу 	щупальце		щу'пальце	^
 	щурёнок		щурёнокъ	 
 	щучечка		щу'чечка	 
 	щучий		щу'чій, щу'чьяго	 
 	Щучье		Щу'чье (о'зеро)	 
 	щучьего		щу'чьяго	 
 	щучьему		щу'чьему (по щу'чьему велѣ'нію)