йе 	Йеллоустон		Іеллоусто'нъ	^
 	Йель		Іе'ль	 
 	Йемен		Іе'менъ, въ Іе'менѣ	 
 	Йена		Іе'на, въ Іе'нѣ	 
 	йети		іе'ти (миѳи'ческое человѣкоподо'бное существо', живу'щее въ гора'хъ; снѣ'жный человѣ'къ)	 
йи 	Йиглава		Іигла'ва	^
йо 	йог		іо'гъ, о іо'гѣ	^
 	йога		іо'га, въ іо'гѣ	 
 	йогурт		іо'гуртъ (не всѣ' іо'гурты одина'ково поле'зны :), въ іо'гуртѣ	 
 	йогуртовый		іо'гуртовый, іо'гуртоваго	 
 	йод		іо'дъ	 
 	йодат		іода'тъ	 
 	йодид		іоди'дъ	 
 	йодинол		іодино'лъ	 
 	йодированный		іоди'рованный	 
 	йодисто-водородный		іо'дисто-водоро'дный	 
 	йодистый		іо'дистый	 
 	Йожеф		Іо'жефъ	 
 	Йокаи		Іо'каи	 
 	Йонна		Іо'нна	 
 	Йорк		Іо'ркъ, въ Іо'ркѣ	 
 	Йоркшир		Іо'ркширъ, въ Іо'ркширѣ	 
 	йота		іо'та (бу'ква гре'ческаго алфави'та; ни на іо'ту — ниско'лько, ни въ ма'лой сте'пени)	 
 	Йоханнесбург		Іоганнисбе'ргъ, въ Іоганнисбе'ргѣ